time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
2.958459188789976e-07,12.0,0.0034779888,23.997042,5.0,-0.99987674,-1.0239936e-09,0.34779888,0.99987674,-0.34779888,0.0,-0.34779888,3.4779766e-06,morecomplex,0,
3.058459188789976e-07,12.0,0.0035979499,23.996943,5.0,-0.99987257,-1.0239933e-09,0.35979497,0.99987257,-0.35979497,0.0,-0.35979497,3.5979378e-06,morecomplex,0,
3.158459188789976e-07,12.0,0.0037179096,23.996841,5.0,-0.9998684,-1.0239931e-09,0.37179095,0.9998684,-0.37179095,0.0,-0.37179095,3.7178975e-06,morecomplex,0,
3.2584591887899763e-07,12.0,0.003837868,23.996742,5.0,-0.9998642,-1.023993e-09,0.3837868,0.9998642,-0.3837868,0.0,-0.3837868,3.837856e-06,morecomplex,0,
3.3584591887899764e-07,12.0,0.0039578252,23.996641,5.0,-0.99986005,-1.0239927e-09,0.3957825,0.99986005,-0.39578253,0.0,-0.3957825,3.957813e-06,morecomplex,0,
3.4584591887899765e-07,12.0,0.004077781,23.996542,5.0,-0.99985594,-1.0239924e-09,0.40777808,0.99985594,-0.40777808,0.0,-0.40777808,4.077769e-06,morecomplex,0,
3.5584591887899766e-07,12.0,0.0041977353,23.99644,5.0,-0.99985176,-1.0239922e-09,0.41977355,0.99985176,-0.41977355,0.0,-0.41977355,4.1977232e-06,morecomplex,0,
3.6584591887899767e-07,12.0,0.0043176888,23.996342,5.0,-0.9998476,-1.0239921e-09,0.43176886,0.9998476,-0.43176886,0.0,-0.43176886,4.3176765e-06,morecomplex,0,
3.758459188789977e-07,12.0,0.0044376403,23.996243,5.0,-0.9998434,-1.0239918e-09,0.44376403,0.9998434,-0.44376403,0.0,-0.44376403,4.4376284e-06,morecomplex,0,
3.858459188789977e-07,12.0,0.004557591,23.996141,5.0,-0.99983925,-1.0239917e-09,0.4557591,0.99983925,-0.4557591,0.0,-0.4557591,4.557579e-06,morecomplex,0,
3.958459188789977e-07,12.0,0.00467754,23.996042,5.0,-0.9998351,-1.0239913e-09,0.467754,0.9998351,-0.467754,0.0,-0.467754,4.677528e-06,morecomplex,0,
4.058459188789977e-07,12.0,0.004797488,23.995941,5.0,-0.9998309,-1.0239911e-09,0.47974882,0.9998309,-0.47974882,0.0,-0.47974882,4.797476e-06,morecomplex,0,
